"x" "y"
"1" -1.04401816969517 -1.04309995307406
"2" -1.16512500921074 -1.15714860520005
"3" -1.11096984365003 -1.11507218557062
"4" -1.03334629053716 -1.02965466701152
"5" -0.942784950378413 -0.944311892314195
"6" -0.7121912073214 -0.710241991139342
"7" -0.802486658597838 -0.813560158033726
"8" -0.630489894637806 -0.630714562682882
"9" -0.630359406912633 -0.625640225859207
"10" -0.504617730080409 -0.501648223474322
"11" -0.36472298605366 -0.360812304550004
"12" -0.352057903897886 -0.362004662377203
"13" -0.257655111993796 -0.257935755691441
"14" -0.279978669553747 -0.287332431473244
"15" -0.350564802702682 -0.348475094901684
"16" -0.145340000440272 -0.145853939076987
"17" -0.086599353909975 -0.0868683791128895
"18" -0.292806798690072 -0.29488177150657
"19" -0.350761849924413 -0.351058416907969
"20" -0.184334374820137 -0.180518496077849
"21" -0.208264739416309 -0.209531547816991
"22" -0.102874929897061 -0.100091613903693
"23" -0.205770736161566 -0.209308211946377
"24" -0.150248261272368 -0.146405596649791
"25" -0.166490366689882 -0.162084828057611
"26" -0.106098734906145 -0.109158866872399
"27" -0.0545001485213471 -0.0601469640017511
"28" 0.160674611487623 0.170576610980152
"29" 0.104939245228271 0.0997185720966887
"30" 0.189971262800651 0.189295989781247
"31" 0.549442873080006 0.54924667306634
"32" 0.650673703240994 0.650813714034898
"33" 0.536541772842546 0.537485734340118
"34" 0.26362026718162 0.270948041489434
"35" 0.285538288144824 0.296401346496635
"36" 0.355705777028281 0.352156044873672
"37" 0.445870994374348 0.441200506216126
"38" 0.25601628681986 0.257473517997447
"39" 0.188483389041361 0.188488915799519
"40" 0.198869572837505 0.195921968106565
"41" 0.1127620927309 0.112086199655281
"42" 0.289017464363904 0.281399630361755
"43" 0.3769363308049 0.378601082660968
"44" 0.534871400322304 0.533350480704132
"45" 0.5882032901767 0.589538784130561
"46" 0.504437890859743 0.510477229889659
"47" 0.676450874858416 0.679951943105991
"48" 0.911730319801662 0.914522751929489
"49" 0.716540965022309 0.713674637951124
"50" 0.529940782222003 0.527573779039806
"51" 0.434734861357461 0.434945440723182
"52" 0.296332115800914 0.297122259662935
"53" 0.196941668862835 0.205778105209698
"54" 0.303648445042355 0.308199316189831
"55" 0.360043802909201 0.368454683311798
"56" 0.263221991995856 0.260913768344053
"57" 0.476995964524568 0.473742482758016
"58" 0.44395282569323 0.44198878604602
"59" 0.394151983339571 0.392756416824689
"60" 0.46668045220702 0.465793799795671
"61" 0.388892674115247 0.395607868241099
"62" 0.355127328451441 0.354229545801224
"63" 0.338657329394433 0.34222066092969
"64" 0.326248129196994 0.326059958339659
"65" 0.222674884164682 0.22105353280345
"66" 0.230795159244536 0.227850686813238
"67" 0.309582838648505 0.301990868239571
"68" 0.354309985491986 0.346627736374298
"69" 0.307725496016391 0.305084096494166
"70" 0.208662285206231 0.208377801316994
"71" -0.0793385454098851 -0.0734556288497923
"72" -0.328762392207213 -0.331080044214575
"73" -0.494816029874684 -0.498570124880652
"74" -0.179732692804958 -0.179645714706492
"75" -0.371948274797293 -0.380151302469385
"76" -0.302910549012973 -0.303003348176546
"77" -0.349391354353768 -0.354038165091037
"78" -0.571092294124429 -0.576468255607507
"79" -0.418770028868939 -0.421876362342923
"80" -0.62473435563351 -0.615387902521392
"81" -0.558433632371921 -0.559626867876486
"82" -0.397394609239197 -0.392962495982322
"83" -0.488668124507856 -0.477637612185154
"84" -0.524938776871188 -0.532061250122252
"85" -0.544468099981506 -0.543430408285344
"86" -0.196061457484041 -0.195532445644572
"87" -0.12671586404216 -0.127101628718943
"88" -0.176301677092127 -0.176475307233683
"89" -0.0574401644530963 -0.0470639394098349
"90" 0.0969018390277257 0.102941381019659
"91" -0.088189978591893 -0.0832705007416261
"92" -0.0548433132842467 -0.062179563429708
"93" 0.0235326957011011 0.022738922677521
"94" 0.243125278185135 0.239294868187112
"95" 0.177606720219762 0.172976172732875
"96" 0.150320257311481 0.152330316208912
"97" 0.0399479127215892 0.0440997785614976
"98" -0.141426645483121 -0.14666656754716
"99" 0.0753210318470534 0.0702417945205302
"100" 0.136811526311158 0.134906146055614
